"","source","year","price_group_ordered","total_mitigation_by_price_group","cumulative_reduction"
"183","GAS",2055,"above zero",966.17889440549,966.17889440549
"184","GAS",2060,"at or below zero",116.876790994482,116.876790994482
"185","GAS",2060,"above zero",863.132996825058,980.00978781954
"186","GAS",2065,"above zero",993.206874314674,993.206874314674
"187","GAS",2070,"at or below zero",119.547494267776,119.547494267776
"188","GAS",2070,"above zero",886.252562925215,1005.80005719299
"189","GAS",2075,"above zero",1017.81787228501,1017.81787228501
"190","GAS",2080,"at or below zero",122.434002195114,122.434002195114
"191","GAS",2080,"above zero",906.853480958884,1029.287483154
"192","HCFC",2020,"above zero",121.113420235676,121.113420235676
"193","HCFC",2025,"above zero",93.5929738311227,93.5929738311227
"194","HCFC",2030,"above zero",68.1992440567709,68.1992440567709
"195","HCFC",2035,"above zero",72.2581480619662,72.2581480619662
"196","HCFC",2040,"above zero",76.1066683054917,76.1066683054917
"197","HCFC",2045,"above zero",81.1796748858632,81.1796748858632
"198","HCFC",2050,"above zero",86.3105976937567,86.3105976937567
"199","HCFC",2055,"above zero",86.4648083935352,86.4648083935352
"200","HCFC",2060,"above zero",86.6114515128075,86.6114515128075
"201","HCFC",2065,"above zero",86.7509123989136,86.7509123989136
"202","HCFC",2070,"above zero",86.8835383139521,86.8835383139521
"203","HCFC",2075,"above zero",87.0096642395126,87.0096642395126
"204","HCFC",2080,"above zero",87.129608739755,87.129608739755
"205","LAN",2020,"at or below zero",169.381840411523,169.381840411523
"206","LAN",2020,"above zero",519.505930637053,688.887771048576
"207","LAN",2025,"at or below zero",185.551179780071,185.551179780071
"208","LAN",2025,"above zero",559.558646713899,745.10982649397
"209","LAN",2030,"at or below zero",208.627482589838,208.627482589838
"210","LAN",2030,"above zero",608.537759373851,817.165241963689
"211","LAN",2035,"at or below zero",228.53411573447,228.53411573447
"212","LAN",2035,"above zero",650.247568859755,878.781684594225
"213","LAN",2040,"at or below zero",245.123650803138,245.123650803138
"214","LAN",2040,"above zero",691.224348889691,936.347999692829
"215","LAN",2045,"at or below zero",260.793082843122,260.793082843122
"216","LAN",2045,"above zero",730.788322442942,991.581405286063
"217","LAN",2050,"at or below zero",278.928527059847,278.928527059847
"218","LAN",2050,"above zero",765.109290812401,1044.03781787225
"219","LAN",2055,"at or below zero",13.9886099714382,13.9886099714382
"220","LAN",2055,"above zero",708.938578051783,722.927188023222
"221","LAN",2060,"at or below zero",287.995586334672,287.995586334672
"222","LAN",2060,"above zero",772.802406428419,1060.79799276309
"223","LAN",2065,"at or below zero",13.9799729110053,13.9799729110053
"224","LAN",2065,"above zero",710.779642868064,724.759615779069
"225","LAN",2070,"at or below zero",295.992820809541,295.992820809541
"226","LAN",2070,"above zero",780.012385943043,1076.00520675258
"227","LAN",2075,"at or below zero",13.9773812055189,13.9773812055189
"228","LAN",2075,"above zero",712.441321619972,726.418702825491
"229","LAN",2080,"at or below zero",303.664731809097,303.664731809097
"230","LAN",2080,"above zero",786.140793394526,1089.80552520362
"231","LIVE",2020,"at or below zero",18.7163564579052,18.7163564579052
"232","LIVE",2020,"above zero",286.620517400139,305.336873858044
"233","LIVE",2025,"at or below zero",19.7433632161311,19.7433632161311
"234","LIVE",2025,"above zero",293.416487933904,313.159851150035
"235","LIVE",2030,"at or below zero",19.8950217272792,19.8950217272792
"236","LIVE",2030,"above zero",337.897379843786,357.792401571066
"237","LIVE",2035,"at or below zero",19.2436074356244,19.2436074356244
"238","LIVE",2035,"above zero",436.005296711511,455.248904147135
"239","LIVE",2040,"at or below zero",18.4061276971098,18.4061276971098
"240","LIVE",2040,"above zero",534.887169620167,553.293297317277
"241","LIVE",2045,"at or below zero",17.9049806570978,17.9049806570978
"242","LIVE",2045,"above zero",630.882028376604,648.787009033702
"243","LIVE",2050,"at or below zero",19.0613169604719,19.0613169604719
"244","LIVE",2050,"above zero",725.393708959381,744.455025919853
"245","LIVE",2055,"at or below zero",20.5969004811203,20.5969004811203
"246","LIVE",2055,"above zero",727.548336268704,748.145236749824
"247","LIVE",2060,"at or below zero",21.8886110367077,21.8886110367077
"248","LIVE",2060,"above zero",730.721015252024,752.609626288732
"249","LIVE",2065,"at or below zero",22.2162842926476,22.2162842926476
"250","LIVE",2065,"above zero",735.465276490195,757.681560782843
"251","LIVE",2070,"at or below zero",20.4817328016402,20.4817328016402
"252","LIVE",2070,"above zero",742.776869680496,763.258602482136
"253","LIVE",2075,"at or below zero",22.4898208328626,22.4898208328626
"254","LIVE",2075,"above zero",746.785868403374,769.275689236237
"255","LIVE",2080,"at or below zero",23.8702607897452,23.8702607897452
"256","LIVE",2080,"above zero",751.820383200385,775.69064399013
"257","MG",2020,"at or below zero",0.111545249435523,0.111545249435523
"258","MG",2020,"above zero",6.01227254238236,6.12381779181788
"259","MG",2025,"at or below zero",0.132876591879169,0.132876591879169
"260","MG",2025,"above zero",6.30913190936995,6.44200850124912
"261","MG",2030,"at or below zero",0.157148140226288,0.157148140226288
"262","MG",2030,"above zero",6.59528460222605,6.75243274245233
"263","MG",2035,"at or below zero",0.165322657532124,0.165322657532124
"264","MG",2035,"above zero",6.94682886272788,7.11215152026001
"265","MG",2040,"at or below zero",0.16994963061232,0.16994963061232
"266","MG",2040,"above zero",7.14953510675008,7.3194847373624
